id,nom,pays,naissance,sexe
1989,Celia Weston,USA,1951-12-14,F
1990,Brian Howe,,,M
2034,Danny Boyle,UK,1956-10-20,M
2037,Cillian Murphy,Ireland,1976-05-25,M
2038,Naomie Harris,UK,1976-09-06,F
2039,Brendan Gleeson,Ireland,1955-03-29,M
2040,Christopher Eccleston,UK,1964-02-16,M
2047,Danny Glover,USA,1946-07-22,M
2048,Gary Busey,USA,1944-06-29,M
2053,Bill Paxton,USA,1955-05-17,M
2055,Robert Davi,USA,1951-06-26,M
2059,Adam Baldwin,USA,1962-02-27,M
2067,Calvin Lockhart,Bahamas,1934-10-18,M
2086,Pierre Cosso,Algeria,1961-09-24,M
2090,Kirk Douglas,USA,1916-12-09,M
2097,Ted de Corsia,USA,1905-09-29,M
2115,Kurtwood Smith,USA,1943-07-03,M
2127,James Wan,Malaysia,1977-02-27,M
2130,Cary Elwes,UK,1962-10-26,M
2131,Ken Leung,USA,1970-01-21,M
2134,Mike Butters,,,M
2137,Benito Martinez,USA,1971-06-28,M
2141,Ned Bellamy,USA,1957-05-07,M
2157,Robin Williams,USA,1951-07-21,M
2165,Rosanna Arquette,USA,1959-08-10,F
2166,Sergio Castellitto,Italia,1953-08-18,M
2168,Jean Bouise,France,1929-06-03,M
2169,Michael Jeter,USA,1952-08-26,M
2170,Marc Duret,France,1957-09-28,M
2171,Griffin Dunne,USA,1955-06-08,M
2173,Valentina Vargas,Chile,1964-12-31,F
2174,Kimberly Beck,U.S.,1956-01-09,F
2176,Tommy Lee Jones,USA,1946-09-15,M
2178,Forest Whitaker,USA,1961-07-15,M
2179,Suzy Amis,USA,1962-01-05,F
2189,Renaud,France,1952-05-11,M
2192,Lambert Wilson,France,1958-08-03,M
2193,Alexandra Gonin,,,
2197,Daniel Russo,France,1948-05-13,M
2201,Max von Sydow,Sweden,1929-04-10,M
2202,Steve Harris,USA,1965-12-03,M
2203,Neal McDonough,USA,1966-02-13,M
2206,Samantha Morton,UK,1977-05-13,F
2208,Kathryn Morris,USA,1969-01-28,F
2211,Gerald R. Molen,USA,1935-01-06,M
2219,Tobey Maguire,USA,1975-06-27,M
2220,Tony Curran,UK,1969-12-13,M
2221,Leland Orser,USA,1960-08-06,M
2222,Beau Bridges,USA,1941-12-09,M
2223,Fred Savage,USA,1976-07-09,M
2226,Sydney Pollack,USA,1934-07-01,M
2227,Nicole Kidman,USA,1967-06-20,F
2228,Sean Penn,USA,1960-08-17,M
2229,Catherine Keener,USA,1959-03-23,F
2230,Pam Grier,USA,1949-05-26,F
2231,Samuel L. Jackson,USA,1948-12-21,M
2232,Michael Keaton,USA,1951-09-05,M
2233,Bridget Fonda,USA,1964-01-27,F
2234,Michael Bowen,USA,1953-06-21,M
2244,Jesper Christensen,Denmark,1948-05-16,M
2245,Yvan Attal,Israel,1965-01-04,M
2246,Earl Cameron,,1917-08-18,M
2247,George Harris,West Indies,1949-10-20,M
2249,Clyde Kusatsu,USA,1948-09-13,M
2250,Eric Keenleyside,Canada,1957-10-11,M
2264,Patrick Magee,UK,1922-03-31,M
2282,Ben Kingsley,UK,1943-12-31,M
2283,Stanley Tucci,USA,1960-11-11,M
2291,Paul McGuigan,UK,1963-09-19,M
2294,Robert Rodriguez,USA,1968-06-20,M
2295,Mickey Rourke,USA,1952-09-16,M
2296,Clive Owen,UK,1964-10-03,M
2299,Josh Hartnett,USA,1978-07-21,M
2310,Bruno Ganz,Switzerland,1941-03-22,M
2314,Peter Falk,USA,1927-09-16,M
2352,Jean-Jacques Annaud,France,1943-10-01,M
2355,Andrew Birkin,UK,1945-12-09,M
2368,Elya Baskin,U.S.S.R.,1950-08-11,M
2369,Michael Lonsdale,France,1931-05-24,M
2372,Ron Perlman,USA,1950-04-13,M
2387,Patrick Stewart,UK,1940-07-13,M
2391,Michael Dorn,USA,1952-12-09,M
2395,Whoopi Goldberg,USA,1955-11-13,F
2405,Audrey Tautou,France,1976-08-09,F
2406,Mathieu Kassovitz,France,1967-08-03,M
2407,Rufus,France,1942-12-19,M
2408,Jamel Debbouze,France,1975-06-18,M
2412,Isabelle Nanty,,1962-01-21,F
2413,Dominique Pinon,France,1955-03-04,M
2414,Artus de Penguern,,1957-03-13,M
2415,Yolande Moreau,Belgium,1953-02-27,F
2416,Urbain Cancelier,,,M
2417,Maurice Bénichou,Algeria,1943-01-23,M
2419,Jean-Pierre Jeunet,France,1953-09-03,M
2440,Bill Nighy,UK,1949-12-12,M
2441,Tom Hollander,UK,1967-08-25,M
2449,Kevin McNally,UK,1956-04-27,M
