id,nom,id,titre,annee,nbSpectateurs,idRealisateur,idGenre
9648,Mystère,4191,La mariée était en noir,1968,5570,1650,9648
80,Crime,4235,Le clan des Siciliens,1969,,34580,80
80,Crime,4311,Compartiment tueurs,1965,,27436,80
12,Aventure,4442,Les Frères Grimm,2005,13164533,280,12
12,Aventure,4476,Légendes d'automne,1994,20079860,9181,12
18,Drame,4480,Jean de Florette,1986,,20718,18
18,Drame,4481,Manon des sources,1986,,20718,18
35,Comédie,4516,Mon Meilleur Ami,2006,,37626,35
35,Comédie,4543,Monty Python - Le sens de la vie,1983,,280,35
18,Drame,4561,Histoire d'O,1975,,38007,18
28,Action,4597,Blindés,2009,2867777,41671,28
53,Thriller,4614,La Somme de toutes les peurs,2002,24125000,23968,53
80,Crime,4680,Deux hommes dans la ville,1973,,35585,80
10752,Guerre,4708,Paris brûle-t-il?,1966,,9740,10752
18,Drame,4710,Masculin féminin,1966,,3776,18
35,Comédie,4727,Le Gendarme de Saint-Tropez,1964,,39138,35
35,Comédie,4728,Le Gendarme à New-York,1965,,39138,35
35,Comédie,4729,Le Gendarme se marie,1968,,39138,35
18,Drame,4735,Le bon et les méchants,1976,,16862,18
35,Comédie,4765,L'ibis rouge,1975,,24397,35
18,Drame,4836,Layer Cake,2004,1481276,957,18
878,Science-Fiction,4858,Invasion,2007,1883939,7832,878
28,Action,4909,Chacal,1973,,4065,28
53,Thriller,4910,La seconde mort d'Harold Pelham,1970,,29504,53
14,Fantastique,4935,Le Château ambulant,2004,29506219,608,14
18,Drame,4948,Clair de femme,1979,,27436,18
18,Drame,4982,American Gangster,2007,33308129,578,18
35,Comédie,5070,Combien tu m'aimes ?,2005,,34262,35
18,Drame,5144,Marquise,1997,,41518,18
12,Aventure,5255,Le Pôle Express,2004,38829256,24,12
28,Action,5375,Frère Noël,2007,12229793,42994,28
80,Crime,5511,Le Samouraï,1967,4935,3831,80
28,Action,5548,RoboCop,1987,6678085,10491,28
35,Comédie,5558,Le fantôme de la liberté,1974,,793,35
35,Comédie,5781,Cet obscur objet du désir,1977,,793,35
12,Aventure,5915,Into the Wild,2007,7031892,2228,12
