id,titre,annee,nbSpectateurs,idRealisateur,idGenre
10555,Gang de requins,2004,45909377,12058,16
10617,Il était une fois en Chine,1991,478307,26760,28
10618,Il était une fois en Chine 2 : La Secte du lotus blanc,1992,3799959,26760,28
10623,En sursis,2003,7061194,10765,28
10637,Le Plus Beau des combats,2000,17088335,52358,18
10650,Le Retour de l'inspecteur Harry,1983,8455336,190,80
10656,Subway,1985,48832,59,28
10697,Le goût des autres,2000,,28279,18
10764,Quantum of Solace,2008,73261340,12995,12
10779,Fantômes contre fantômes,1996,3669902,108,27
10792,Coup de tête,1979,,2352,35
10795,Ne le dis à personne,2006,,19866,18
10796,The One,2001,9087500,57134,28
10840,On Your Mark,1995,,608,10402
10939,Le retour du grand blond,1974,,25182,35
10950,Sam je suis sam,2001,11567802,16853,18
11092,Présumé innocent,1990,27662898,6349,53
11156,Coco avant Chanel,2009,,48583,18
11169,Spartan,2004,1014089,1255,9648
11183,Les Bronzés,1978,,37626,35
11185,"Pas nous, pas nous",1989,5863623,133259,80
11227,Angel-A,2005,1249396,59,10749
11286,L'Équipée du cannonball,1981,9022447,67767,35
11321,Sept vies,2008,21020961,20646,18
11324,Shutter Island,2010,36850524,1032,18
11439,The Ghost Writer,2010,7527787,3556,53
11444,Le Placard,2001,,38507,35
11479,Un Indien dans la ville,1994,,69537,12
11515,Les Fantômes de Goya,2006,1181010,3974,18
11559,Tideland,2005,70826,280,14
11604,Anthony Zimmer,2005,,69987,18
11615,La Vie de David Gale,2003,4869449,9168,18
11619,Souris City,2006,22265001,33183,12
11621,Porco Rosso,1992,,608,35
11631,Mamma Mia !,2008,76230204,71068,35
11650,Five Fingers,2006,,22808,18
11657,Le Cercle rouge,1970,,3831,18
11661,Joyeux Noël,2005,2213644,70221,10749
11666,"La vie, l'amour, la mort",1969,,16862,18
11672,Une fille et des fusils,1965,,16862,80
11687,Les Visiteurs,1993,,64909,14
11796,Le mari de la coiffeuse,1990,,37626,35
11820,Le Sourire de Mona Lisa,2003,,10723,18
11834,Jabberwocky,1977,,280,14
11860,Sabrina,1995,6709010,2226,35
11912,Le Tatoué,1968,,24389,35
11913,Le Gendarme en balade,1970,,39138,35
11914,Sur un arbre perché,1971,,24425,35
11915,Le Gendarme et les Gendarmettes,1982,,39138,35
11958,"Ni pour, ni contre (bien au contraire)",2003,,17520,18
12089,Le Grand Blond avec une chaussure noire,1972,,25182,35
12111,Les Spécialistes,1985,,37626,12
12113,Mensonges d'État,2008,14160012,578,28
12429,Ponyo sur la falaise,2008,25300501,608,16
12444,Harry Potter et les Reliques de la mort : 1ère partie,2010,119288233,11343,12
12445,Harry Potter et les Reliques de la mort : 2ème partie,2011,167688902,11343,14
12490,Ordinary Decent Criminal,2000,,72467,35
12531,L'Appartement,1996,,72667,9648
12709,Ridicule,1996,312978,37626,35
12717,Le Château de ma mère,1990,,25182,12
13043,Camping,2006,,74112,35
13045,Le prix à payer,2007,,20073,35
13223,Gran Torino,2008,33744778,190,18
13249,Seraphim Falls,2006,149538,77458,28
13291,Trahison,2008,2941353,6047,18
13384,Kes,1970,,15488,18
13448,Anges & Démons,2009,44576679,6159,53
13726,Un secret,2007,,18209,18
13727,Disco,2008,,74112,35
13728,Enfermés dehors,2006,458348,14606,35
13735,Les Randonneurs à Saint-Tropez,2008,,123979,35
13813,Les insurgés,2008,6394402,9181,28
13885,Sweeney Todd : Le Diabolique Barbier de Fleet Street,2007,19000000,510,18
14257,La Folie des grandeurs,1971,,11195,35
14411,"Sinbad, la légende des sept mers",2003,10095985,52870,10751
